#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
oxygen                                            (advancedrocketry:oxygenfluid)                                                   = Oxygen
hydrogen                                          (advancedrocketry:hydrogenfluid)                                                 = Hydrogen
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = Rocket Fuel
nitrogen                                          (advancedrocketry:nitrogenfluid)                                                 = Nitrogen
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Enriched Lava
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
tropicraft.water                                  (tropicraft:water)                                                               = Tropics Water
tropicraft.portal                                 (tropicraft:portal)                                                              = Tropics Portal
octine                                            (jaopca:fluid_moltenoctine)                                                      = Molten Octine
syrmorite                                         (jaopca:fluid_moltensyrmorite)                                                   = Molten Syrmorite
betterquesting.placeholder                        ([no block])                                                                     = Placeholder
